納入申告書_特例申告（定率）,,,,,,,,,,,
"「必須」欄の凡例
○：必須項目　　　　　　　必ず値を設定してください。
△：条件付き必須項目　　　他の項目の設定内容により設定が必須となります。条件について、各項目の「備考」欄を参照してください。
－：入力不要項目　　　　　システムが自動で設定する項目のため、値を設定しない。項目区切りを表す"",""(カンマ)は必要ですのでご注意ください。
空白：任意入力項目　　　　設定は任意です。値を設定しない場合でも、項目区切りを表す"",""(カンマ)が必要ですのでご注意ください。

「文字属性」欄の凡例
全角：【全角】eLTAXで使用できる全角文字( https://www.eltax.lta.go.jp/eltax/chuuijikou/moji/ )を入力する。（℃、Å、⌒、★、☆、♀、♂、♪、♭、♯は使用不可）
半角：【半角】英数字、記号を入力する。
数字：【半角】数字を入力する。",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
No.,CSV項目名称,データの意味,入力文字,,,,コードID,備考,,,
,,,必須,型,文字属性,文字数,,,,,
80,納入税額－行為年月１－申告区分９【宿泊者数】,,,,数字,8,,,,,
81,納入税額－行為年月１－申告区分９【宿泊料金】,,,,数字,13,,,,,
82,納入税額－行為年月１－申告区分９【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
83,納入税額－行為年月１－申告区分９【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
84,納入税額－行為年月１【申告区分１０】,,,,全角,50,,,,,
85,納入税額－行為年月１－申告区分１０【宿泊料金の総額】,,,,数字,11,,,,,
86,納入税額－行為年月１－申告区分１０【宿泊者数】,,,,数字,8,,,,,
87,納入税額－行為年月１－申告区分１０【宿泊料金】,,,,数字,13,,,,,
88,納入税額－行為年月１－申告区分１０【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
89,納入税額－行為年月１－申告区分１０【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
90,納入税額－行為年月１－課税対象宿泊合計【宿泊者数】,,○,,数字,9,,,,,
91,納入税額－行為年月１－課税対象宿泊合計【宿泊料金】,,○,,数字,14,,,,,
92,納入税額－行為年月１－課税対象宿泊合計【税額】,,○,,数字,14,,,,,
93,納入税額－行為年月１－課税免除【宿泊者数】,,○,,数字,9,,,,,
94,納入税額－行為年月１－課税免除【宿泊料金】,,○,,数字,14,,,,,
95,納入税額－行為年月１－合計【宿泊者数】,,○,,数字,10,,,,,
96,納入税額－行為年月１－合計【税額】,,○,,数字,14,,,,,
97,納入税額－行為年月２,行為年月を西暦6桁の年月で記録する。,○,,数字,6,,西暦6桁の年月を記録する。,,,
98,納入税額－行為年月２【申告区分１】,,○,,全角,50,,,,,
99,納入税額－行為年月２－申告区分１【宿泊料金の総額】,,,,数字,11,,,,,
100,納入税額－行為年月２－申告区分１【宿泊者数】,,,,数字,8,,,,,
101,納入税額－行為年月２－申告区分１【宿泊料金】,,,,数字,13,,,,,
102,納入税額－行為年月２－申告区分１【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
